
                  BEAST v1.8.1, 2002-2014
       Bayesian Evolutionary Analysis Sampling Trees
                 Designed and developed by
   Alexei J. Drummond, Andrew Rambaut and Marc A. Suchard
                              
               Department of Computer Science
                   University of Auckland
                  alexei@cs.auckland.ac.nz
                              
             Institute of Evolutionary Biology
                  University of Edinburgh
                     a.rambaut@ed.ac.uk
                              
              David Geffen School of Medicine
           University of California, Los Angeles
                     msuchard@ucla.edu
                              
                Downloads, Help & Resources:
                 	http://beast.bio.ed.ac.uk
                              
Source code distributed under the GNU Lesser General Public License:
            	http://code.google.com/p/beast-mcmc
                              
                     BEAST developers:
	Alex Alekseyenko, Guy Baele, Trevor Bedford, Filip Bielejec, Erik Bloomquist, Matthew Hall,
	Joseph Heled, Sebastian Hoehna, Denise Kuehnert, Philippe Lemey, Wai Lok Sibon Li,
	Gerton Lunter, Sidney Markowitz, Vladimir Minin, Michael Defoin Platel,
          	Oliver Pybus, Chieh-Hsi Wu, Walter Xie
                              
                         Thanks to:
    	Roald Forsberg, Beth Shapiro and Korbinian Strimmer

Using BEAGLE library v2.1.2 for accelerated, parallel likelihood evaluation
2009-2013, BEAGLE Working Group - http://beagle-lib.googlecode.com/
Citation: Ayres et al (2012) Systematic Biology 61: 170-173 | doi:10.1093/sysbio/syr100



Random number seed: 1428625469005



Loading additional development parsers from development_parsers.properties, which is additional set of parsers only available for development version ...

Parsing XML file: separatebeastinfile.xml
  File encoding: UTF8
Looking for plugins in /fh/fast/bloom_j/grp/Heather/TcellEpitopeComparisons/swine/HA_H3/plugins
Read alignment: alignment
  Sequences = 57
      Sites = 566
   Datatype = amino acid
Site patterns 'patterns' created from positions 1-566 of alignment 'alignment'
  pattern count = 566
Creating the tree model, 'treeModel'
  initial tree topology = (((((((((((2003A/swine/Italy/268086/2003|EU982298|2003.,2006A/swine/Italy/66945/2006|EU037014|2006.),1999A/swine/Bakum/8602/99|EF409250|1999.),(1999A/swine/HongKong/5190/99|AY363519|1999.,2000A/swine/Italy/9181/2000|DQ975266|2000.)),2005A/swine/Italy/30574/2005|EU045372|2005.),(1994A/Swine/Italy/25823/94|AF213903|1994.,2004A/swine/Spain/54008/2004|CY010564|2004.)),((((1991A/Swine/Netherlands/784/91|AF092057|1991.,1995A/swine/Germany/Vi3161/95|AM920723|1995.),(1992A/swine/Italy/1188/1992|DQ975258|1992.,1993A/Swine/Netherlands/849/93|AF092054|1993.)),1983A/swine/Italy/309/1983|X73489|1983.),1987A/swine/Italy/635/1987|X73491|1987.)),((((2001A/swine/Spain/33601/2001|CY009372|2001.,2002A/swine/Spain/42386/2002|CY020501|2002.),2003A/swine/Nordkirchen/IDT1993/2003|EU924271|2003.247),1997A/swine/Germany/SEC27/97|AM920733|1997.),2007A/swine/Italy/10659-1/2007|EU982295|2007.)),((((2001A/swine/Italy/7680/2001|EU045365|2001.,2002A/swine/Spain/39139/2002|CY009380|2002.),1987A/swine/Italy/636/87|AJ293928|1987.),2004A/swine/Italy/297576/2004|EU045371|2004.),1988A/swine/Italy/729/1988|DQ975256|1988.)),(((((((1995A/swine/Italy/1380-2/1995|DQ975260|1995.,2003A/swine/Bissendorf/IDT1864/2003|GQ161170|2003.211),1998A/swine/Italy/1510/98|AJ293932|1998.),1985A/swine/Italy/520/85|X73490|1985.),1996A/swine/Italy/1477/96|AJ293931|1996.),1992A/swine/Italy/1243/92|AJ293929|1992.),(1993A/Swine/Netherlands/L2/93|AF092056|1993.,2000A/swine/HongKong/7982/00|AY363522|2000.)),1997A/swine/Lohne/1/97|EF409249|1997.)),((((((1992A/swine/IDT/Re220/92|AY701752|1992.,1998A/swine/Flanders/1/1998|FJ842116|1998.),1996A/Swine/Oedenrode/7C/96|AF092053|1996.),2006A/swine/Italy/79604/2006|EU045374|2006.),1994A/Swine/Belgium/231/94|AF092055|1994.),1985A/Swine/Utrecht/4/85|AF092058|1985.),(((((1994A/swine/Finistere/510/94|AJ311511|1994.,1998A/swine/Italy/9264/1998|EU045360|1998.),1997A/Swine/Breugel/97|AF092052|1997.),1999A/swine/HongKong/5200/99|AY363520|1999.),(1987A/swine/Italy/630/1987|DQ975255|1987.,2004A/swine/Italy/58356/2004|EU045368|2004.)),(1984A/swine/CotedArmor/3633/84|AJ293933|1984.,2002A/swine/Germany/S043/2002|AM920742|2002.)))),(((((1993A/swine/Bakum/909/93|AJ252130|1993.,2001A/swine/HongKong/9745/01|AY363524|2001.),(2000A/swine/Italy/1962-1/2000|DQ975265|2000.,2007A/swine/Hungary/13509/2007|FJ798772|2007.581)),1984A/Swine/Brabant/84|AF092059|1984.),((1995A/swine/Belgium/87/95|AJ293927|1995.,2007A/swine/Italy/50127/2007|EU982296|2007.),(1996A/swine/Jena/5/1996|EF409248|1996.,2006A/swine/Italy/114347/2006|EU045376|2006.))),1984A/swine/Ukkel/1/1984|M73775|1984.))
  tree height = 1171.6896269136032
Using strict molecular clock model.
Creating site model.
Using BEAGLE TreeLikelihood
  Branch rate model used: strictClockBranchRates
  Using BEAGLE resource 0: CPU
    with instance flags:  PRECISION_DOUBLE COMPUTATION_SYNCH EIGEN_REAL SCALING_MANUAL SCALERS_RAW VECTOR_NONE THREADING_NONE PROCESSOR_CPU FRAMEWORK_CPU
  Ignoring ambiguities in tree likelihood.
  With 566 unique site patterns.
  Using rescaling scheme : delayed
Optimization Schedule: log
Likelihood computation is using an auto sizing thread pool.
Creating the MCMC chain:
  chainLength=30000000
  autoOptimize=true
  autoOptimize delayed for 10000 steps
# BEAST v1.8.1, r6542
# Generated Thu Apr 09 17:24:29 PDT 2015 [seed=1428625469005]
state	Posterior   	Prior       	Likelihood  	rootHeight  	clock.rate  
58000	-4778.9800  	-448.9201   	-4330.0600  	242.688     	2.03187E-4  	0.4 hours/million states
59000	-4773.4228  	-443.7630   	-4329.6599  	259.173     	2.00985E-4  	0.4 hours/million states
60000	-4779.4974  	-443.0279   	-4336.4695  	267.766     	2.07074E-4  	0.4 hours/million states
61000	-4778.5021  	-442.3429   	-4336.1592  	249.564     	2.32515E-4  	0.4 hours/million states
62000	-4772.2282  	-442.8000   	-4329.4282  	238.437     	2.27477E-4  	0.4 hours/million states
63000	-4779.5331  	-443.5610   	-4335.9721  	249.072     	1.90168E-4  	0.4 hours/million states
64000	-4783.3189  	-439.0438   	-4344.2751  	236.736     	2.09986E-4  	0.4 hours/million states
65000	-4773.1840  	-434.4197   	-4338.7642  	244.540     	2.37596E-4  	0.4 hours/million states
66000	-4776.7792  	-436.4478   	-4340.3314  	222.495     	2.24684E-4  	0.4 hours/million states
67000	-4762.4871  	-428.3001   	-4334.1870  	197.832     	2.86324E-4  	0.4 hours/million states
68000	-4765.7366  	-426.7310   	-4339.0055  	186.142     	2.9292E-4   	0.4 hours/million states
69000	-4754.1472  	-420.8906   	-4333.2565  	176.442     	2.96961E-4  	0.4 hours/million states
70000	-4767.6175  	-420.4125   	-4347.2050  	194.362     	3.28962E-4  	0.4 hours/million states
71000	-4752.5109  	-415.1980   	-4337.3128  	158.710     	3.18972E-4  	0.4 hours/million states
72000	-4742.4229  	-413.7914   	-4328.6315  	153.034     	3.39702E-4  	0.4 hours/million states
73000	-4752.3662  	-410.9876   	-4341.3786  	161.881     	3.22546E-4  	0.4 hours/million states
74000	-4740.4198  	-410.4123   	-4330.0075  	180.271     	3.19218E-4  	0.4 hours/million states
75000	-4746.0495  	-415.6955   	-4330.3540  	193.796     	3.22172E-4  	0.4 hours/million states
76000	-4748.5698  	-420.0004   	-4328.5693  	168.361     	2.74445E-4  	0.4 hours/million states
77000	-4737.6124  	-418.2204   	-4319.3921  	145.796     	3.20659E-4  	0.4 hours/million states
78000	-4748.7910  	-417.6667   	-4331.1243  	181.535     	3.18225E-4  	0.4 hours/million states
79000	-4744.8542  	-413.4557   	-4331.3985  	183.494     	3.38877E-4  	0.4 hours/million states
80000	-4742.9377  	-414.1992   	-4328.7385  	157.635     	3.23982E-4  	0.4 hours/million states
81000	-4751.9153  	-421.2241   	-4330.6912  	162.443     	2.97529E-4  	0.4 hours/million states
82000	-4749.2087  	-417.1931   	-4332.0156  	160.625     	3.23518E-4  	0.4 hours/million states
83000	-4752.3502  	-415.7499   	-4336.6003  	159.728     	3.11992E-4  	0.4 hours/million states
84000	-4744.4385  	-419.9026   	-4324.5359  	188.082     	3.22298E-4  	0.4 hours/million states
85000	-4744.9273  	-422.8469   	-4322.0803  	169.306     	3.31124E-4  	0.4 hours/million states
86000	-4741.7098  	-418.3870   	-4323.3229  	181.202     	3.16272E-4  	0.4 hours/million states
87000	-4750.2662  	-414.9887   	-4335.2775  	193.604     	3.20137E-4  	0.4 hours/million states
88000	-4747.6228  	-414.4803   	-4333.1425  	188.511     	3.41824E-4  	0.4 hours/million states
89000	-4732.4420  	-406.0677   	-4326.3742  	165.517     	3.63945E-4  	0.4 hours/million states
90000	-4736.1771  	-410.6955   	-4325.4816  	145.808     	3.39845E-4  	0.4 hours/million states
91000	-4740.5210  	-409.8300   	-4330.6910  	141.749     	3.49297E-4  	0.4 hours/million states
92000	-4745.4647  	-412.6653   	-4332.7994  	154.710     	3.46289E-4  	0.4 hours/million states
93000	-4736.9867  	-402.1358   	-4334.8509  	153.973     	3.66848E-4  	0.4 hours/million states
94000	-4733.2441  	-404.1319   	-4329.1123  	142.969     	4.15233E-4  	0.4 hours/million states
95000	-4721.2896  	-395.5660   	-4325.7237  	140.652     	4.28354E-4  	0.4 hours/million states
96000	-4718.6746  	-394.4770   	-4324.1975  	131.197     	4.06849E-4  	0.4 hours/million states
97000	-4720.5685  	-395.8911   	-4324.6774  	122.399     	4.45055E-4  	0.4 hours/million states
98000	-4725.6321  	-399.8098   	-4325.8223  	123.526     	4.51943E-4  	0.4 hours/million states
99000	-4716.4796  	-388.2934   	-4328.1862  	128.922     	4.84746E-4  	0.4 hours/million states
100000	-4703.6077  	-382.4401   	-4321.1676  	126.316     	4.99301E-4  	0.4 hours/million states
101000	-4713.3811  	-382.9379   	-4330.4432  	125.542     	5.11386E-4  	0.4 hours/million states
102000	-4708.9161  	-381.7139   	-4327.2022  	121.250     	4.86021E-4  	0.4 hours/million states
103000	-4716.4332  	-378.8718   	-4337.5613  	125.814     	4.83187E-4  	0.4 hours/million states
104000	-4703.8712  	-370.5304   	-4333.3408  	107.390     	5.45493E-4  	0.4 hours/million states
105000	-4696.1588  	-373.9560   	-4322.2028  	93.0348     	5.59549E-4  	0.4 hours/million states
106000	-4688.8541  	-365.0318   	-4323.8223  	88.0556     	6.45226E-4  	0.4 hours/million states
107000	-4692.8346  	-361.6502   	-4331.1844  	94.3204     	6.44095E-4  	0.4 hours/million states
108000	-4684.1742  	-355.1327   	-4329.0416  	87.6671     	6.91942E-4  	0.4 hours/million states
109000	-4665.6015  	-348.2851   	-4317.3164  	94.6960     	7.5107E-4   	0.4 hours/million states
110000	-4666.7058  	-343.2122   	-4323.4936  	86.9342     	7.75999E-4  	0.4 hours/million states
111000	-4665.3275  	-351.0133   	-4314.3142  	79.8545     	7.82401E-4  	0.4 hours/million states
112000	-4682.4486  	-354.4382   	-4328.0103  	84.8396     	6.79547E-4  	0.4 hours/million states
113000	-4656.6531  	-350.5360   	-4306.1171  	75.0905     	7.96899E-4  	0.4 hours/million states
114000	-4649.3667  	-346.7991   	-4302.5676  	76.4084     	7.98665E-4  	0.4 hours/million states
115000	-4649.7824  	-342.5735   	-4307.2089  	78.4356     	9.59251E-4  	0.4 hours/million states
116000	-4656.0320  	-338.0679   	-4317.9641  	74.7726     	9.5213E-4   	0.4 hours/million states
117000	-4651.1977  	-339.3442   	-4311.8535  	70.1036     	9.56785E-4  	0.4 hours/million states
118000	-4650.4493  	-334.1460   	-4316.3033  	67.4671     	1.02199E-3  	0.4 hours/million states
119000	-4637.9954  	-332.6545   	-4305.3409  	66.7393     	9.88441E-4  	0.4 hours/million states
120000	-4639.3787  	-330.1364   	-4309.2423  	63.3110     	1.00543E-3  	0.4 hours/million states
121000	-4642.6684  	-322.8834   	-4319.7850  	66.1605     	9.80482E-4  	0.4 hours/million states
122000	-4625.4591  	-312.8649   	-4312.5941  	59.2023     	1.24772E-3  	0.4 hours/million states
123000	-4604.3589  	-301.2024   	-4303.1565  	64.1361     	1.22301E-3  	0.4 hours/million states
124000	-4593.5884  	-295.5022   	-4298.0863  	59.6225     	1.40859E-3  	0.4 hours/million states
125000	-4597.6594  	-290.7863   	-4306.8731  	49.7353     	1.6886E-3   	0.4 hours/million states
126000	-4581.9622  	-280.0170   	-4301.9452  	45.6587     	1.64164E-3  	0.4 hours/million states
127000	-4576.4777  	-278.3943   	-4298.0834  	47.8369     	1.71542E-3  	0.4 hours/million states
128000	-4570.2036  	-273.2941   	-4296.9095  	48.3732     	1.91446E-3  	0.4 hours/million states
129000	-4559.3509  	-268.8162   	-4290.5347  	43.7518     	1.95206E-3  	0.4 hours/million states
130000	-4559.8546  	-269.3147   	-4290.5399  	46.8741     	1.84327E-3  	0.4 hours/million states
131000	-4555.1203  	-260.8898   	-4294.2305  	40.7482     	2.13767E-3  	0.4 hours/million states
132000	-4540.6007  	-253.4791   	-4287.1216  	43.0886     	2.00638E-3  	0.4 hours/million states
133000	-4527.8964  	-244.7688   	-4283.1276  	43.2581     	2.46851E-3  	0.4 hours/million states
134000	-4538.3933  	-249.3344   	-4289.0589  	38.0637     	2.39402E-3  	0.4 hours/million states
135000	-4526.5835  	-243.6786   	-4282.9049  	36.5703     	2.42179E-3  	0.4 hours/million states
136000	-4505.3238  	-229.1449   	-4276.1789  	34.5753     	2.80455E-3  	0.4 hours/million states
137000	-4515.7450  	-222.6808   	-4293.0642  	36.0133     	2.92784E-3  	0.4 hours/million states
138000	-4504.5243  	-221.3167   	-4283.2077  	34.2830     	3.09509E-3  	0.4 hours/million states
139000	-4503.7552  	-216.1720   	-4287.5832  	33.7722     	3.01971E-3  	0.4 hours/million states
140000	-4494.5317  	-214.0446   	-4280.4871  	33.0639     	3.38721E-3  	0.4 hours/million states
141000	-4489.7897  	-211.3873   	-4278.4024  	34.4657     	3.255E-3    	0.4 hours/million states
142000	-4485.5691  	-203.3057   	-4282.2634  	34.3072     	3.50352E-3  	0.41 hours/million states
143000	-4492.3021  	-208.7361   	-4283.5660  	35.6969     	3.34642E-3  	0.41 hours/million states
144000	-4491.7781  	-208.4309   	-4283.3472  	34.4573     	3.41513E-3  	0.41 hours/million states
145000	-4499.0953  	-203.6025   	-4295.4929  	32.8241     	4.11866E-3  	0.41 hours/million states
146000	-4489.8014  	-213.9435   	-4275.8579  	35.3116     	3.29343E-3  	0.41 hours/million states
147000	-4498.1050  	-213.6444   	-4284.4606  	33.8522     	3.09888E-3  	0.41 hours/million states
148000	-4479.5132  	-206.3310   	-4273.1822  	34.2087     	3.29185E-3  	0.41 hours/million states
149000	-4482.0156  	-209.1132   	-4272.9024  	35.6594     	3.36089E-3  	0.41 hours/million states
150000	-4489.9727  	-211.0338   	-4278.9389  	34.0578     	3.28973E-3  	0.41 hours/million states
151000	-4485.4341  	-210.0639   	-4275.3702  	34.2768     	3.1705E-3   	0.41 hours/million states
152000	-4476.5341  	-205.1889   	-4271.3452  	33.5800     	3.57711E-3  	0.41 hours/million states
153000	-4481.3974  	-200.3920   	-4281.0054  	30.9138     	3.54108E-3  	0.41 hours/million states
154000	-4488.3972  	-209.3354   	-4279.0618  	31.4121     	3.19407E-3  	0.41 hours/million states
155000	-4487.4667  	-205.0328   	-4282.4338  	34.8825     	3.39708E-3  	0.41 hours/million states
156000	-4477.9340  	-201.5437   	-4276.3903  	33.0144     	3.88967E-3  	0.41 hours/million states
157000	-4480.5085  	-202.5582   	-4277.9504  	32.2692     	3.47314E-3  	0.41 hours/million states
158000	-4489.1849  	-201.2406   	-4287.9443  	32.5207     	3.92802E-3  	0.41 hours/million states
159000	-4489.7918  	-203.2179   	-4286.5739  	31.6682     	4.1219E-3   	0.41 hours/million states
160000	-4475.9231  	-198.0784   	-4277.8447  	29.9865     	4.44855E-3  	0.41 hours/million states
161000	-4479.7456  	-204.6051   	-4275.1405  	32.8038     	3.4577E-3   	0.41 hours/million states
162000	-4479.5637  	-200.6514   	-4278.9123  	31.0100     	4.05312E-3  	0.41 hours/million states
163000	-4485.3287  	-198.9037   	-4286.4250  	34.0086     	3.95654E-3  	0.41 hours/million states
164000	-4477.5635  	-200.6905   	-4276.8730  	31.8894     	3.79993E-3  	0.41 hours/million states
165000	-4486.2345  	-201.9578   	-4284.2767  	34.5478     	3.75786E-3  	0.41 hours/million states
