Codon,alpha,beta1,p1,beta2,p2,LRT,p-value,q-value,Log(L)
47,0.475521,0,0.065,0,0.935,0,0.67,1,-10.9721
48,0,0,0,0,1,0,1,1,0
49,0.878066,0,0.0472961,0,0.952704,0,0.67,1,-18.8584
50,0,0,0.252718,0.223862,0.747282,0.478433,0.437573,1,-14.4404
51,0.623898,0,0.0474371,0,0.952563,0,0.67,1,-9.98015
52,0.623611,0.622402,0.251838,0.77067,0.748162,0.020027,0.632398,1,-29.8318
53,0.474978,0,0.0484201,0,0.95158,0,0.67,1,-9.82885
54,0.755388,0.170655,0.999228,7.22536,0.000772442,0.000460106,0.664756,1,-21.6739
55,2.44417,0,0.0373749,0,0.962625,0,0.67,1,-45.776
56,1.07237,0,0.065,0,0.935,0,0.67,1,-28.2674
57,1.54637,0,0.0484201,0,0.95158,0,0.67,1,-21.6885
58,2.23569,0,0.0474034,0,0.952597,0,0.67,1,-28.4417
59,0.56099,0,0.0484201,0,0.95158,0,0.67,1,-10.3237
60,0.560944,0,0.0484201,0,0.95158,0,0.67,1,-12.1964
61,1.90338,0.35773,0.999994,0.357747,6.10E-06,0,0.67,1,-44.8446
62,0,0,0,0,1,0,1,1,0
63,0,0,0.252348,0.398742,0.747652,0.241984,0.514273,1,-16.9899
64,0.422468,0,0.0484201,0,0.95158,0,0.67,1,-9.94446
65,0.513226,0.364872,1,0.364281,8.05E-08,0,0.67,1,-24.2426
66,0,0,0,0,1,0,1,1,0
67,1.10743,0,0.0484649,0,0.951535,0,0.67,1,-21.0741
68,0.436648,0,0.0484201,0,0.95158,0,0.67,1,-13.9037
69,0,0,0,0,1,0,1,1,0
70,0.951282,0,0.0484201,0,0.95158,0,0.67,1,-16.9586
71,0,0,0,0,1,0,1,1,0
72,1.20919,0,0.0484201,0,0.95158,0,0.67,1,-14.0753
73,1.8253,0,0.0484201,0,0.95158,0,0.67,1,-21.4642
74,1.40838,0,0.0484685,0,0.951532,0,0.67,1,-19.1478
75,1.62684,0,0.065,0,0.935,0,0.67,1,-22.6631
76,3.90623,0,0.0472884,0,0.952712,0,0.67,1,-34.4624
77,1.05991,0.562383,0.999228,2.732,0.000772442,6.52E-06,0.669385,1,-34.7857
78,1.89353,0,0.0472961,0,0.952704,0,0.67,1,-18.6437
79,1.02742,0,0.0472961,0,0.952704,0,0.67,1,-29.2893
80,0.543296,0,0.0484607,0,0.951539,0,0.67,1,-9.06929
81,0,0,0,0,1,0,1,1,0
82,0.601034,0,0.0484201,0,0.95158,0,0.67,1,-11.5539
83,0.437457,0,0.0500967,0,0.949903,0,0.67,1,-13.5162
84,3.48994,0,0.0484201,0,0.95158,0,0.67,1,-28.6493
85,2.34445,0,0.989832,29.3357,0.0101678,0.177723,0.540179,1,-44.2013
86,0.370349,0,0.04845,0,0.95155,0,0.67,1,-12.2642
87,2.14495,0,0.0473434,0,0.952657,0,0.67,1,-24.9535
88,1.90807,0,0.0484082,0,0.951592,0,0.67,1,-18.8407
89,2.91602,0,0.0485193,0,0.951481,0,0.67,1,-32.7281
90,0,0,0,0,1,0,1,1,0
91,0.54349,0,0.0484201,0,0.95158,0,0.67,1,-9.45386
92,0.473999,0,0.0484201,0,0.95158,0,0.67,1,-10.2205
93,0.868005,0,0.0484201,0,0.95158,0,0.67,1,-15.1509
94,2.86836,0,0.0472961,0,0.952704,0,0.67,1,-39.5035
95,1.75558,0,0.0473253,0,0.952675,0,0.67,1,-25.1853
96,0,0,0.243572,0.195922,0.756428,0.117235,0.568234,1,-10.0941
97,0,0,0,0,1,0,1,1,0
98,2.73739,1.35331,1,1.34557,1.00E-09,0,0.67,1,-71.4041
99,0.503541,0,0.0484201,0,0.95158,0,0.67,1,-9.66821
100,2.33103,0.579814,1,0.580062,1.00E-09,0,0.67,1,-51.5355
101,0.557861,0,0.657056,14.1056,0.342944,6.92099,0.0141446,0.782668,-107.307
102,1.77226,0,0.899988,45.1028,0.100012,4.10253,0.0602887,1,-97.7783
103,1.35908,0.484624,0.960004,16.7549,0.0399962,0.139591,0.557327,1,-51.5236
104,0,0,0,0,1,0,1,1,0
105,0,0,0.264897,0.90486,0.735103,0.0436104,0.612178,1,-41.3139
106,0.827294,0,0.0499537,0,0.950046,0,0.67,1,-13.7841
107,1.09828,0,0.0474491,0,0.952551,0,0.67,1,-17.7543
108,1.32478,0,0.0484175,0,0.951583,0,0.67,1,-23.5816
109,0.446662,0.391317,1,0.390158,1.91E-09,0,0.67,1,-21.2553
110,0.473271,0,0.065,0,0.935,0,0.67,1,-12.3912
111,0,0,0,0,1,0,1,1,0
112,0.564486,0,0.0484201,0,0.95158,0,0.67,1,-9.81881
113,0,0,0,0,1,0,1,1,0
114,0.543622,0,0.0484009,0,0.951599,0,0.67,1,-9.85005
115,0.54375,0,0.0484201,0,0.95158,0,0.67,1,-10.2322
116,0,0,0,0,1,0,1,1,0
117,2.51023,0,0.0484201,0,0.95158,0,0.67,1,-30.4889
118,1.18069,0,0.0484201,0,0.95158,0,0.67,1,-24.7219
119,0.972964,0,0.0484201,0,0.95158,0,0.67,1,-16.4097
120,0,0,0,0,1,0,1,1,0
121,1.33551,0,0.0472961,0,0.952704,0,0.67,1,-22.3496
122,0,0,0.264665,0.42321,0.735335,0.911542,0.336035,1,-13.3328
123,1.36329,0,0.0484799,0,0.95152,0,0.67,0.901784,-24.021
124,2.45801,0,0.0474036,0,0.952596,0,0.67,0.904228,-25.1627
125,0,0,0,0,1,0,1,1,0
126,0,0,0,0,1,0,1,1,0
127,1.16093,0.711605,1,0.704976,1.26E-09,0,0.67,0.911639,-41.1268
128,0,0,0.246139,0.231502,0.753861,0.493988,0.433221,1,-10.3569
129,2.96465,0.18448,0.999626,1.65484,0.000374189,0,0.67,0.916648,-48.4835
130,1.29371,0,0.0484685,0,0.951532,0,0.67,0.919174,-18.7511
131,0.14531,0,0.970514,1028.97,0.0294857,94.2476,0,0,-80.8258
132,0.955575,0,0.048522,0,0.951478,0,0.67,0.924266,-20.1445
133,1.12924,0,0.0484712,0,0.951529,0,0.67,0.926833,-30.7425
134,0.960013,0,0.0472961,0,0.952704,0,0.67,0.929415,-15.7637
135,0.560944,0,0.065,0,0.935,0,0.67,0.932011,-11.6236
136,0,0,1.00E-09,0.537431,1,0.07849,0.589294,1,-26.5728
137,0,0,0,0,1,0,1,1,0
138,0.9782,0,0.0080901,0,0.99191,0,0.67,0.939887,-15.1431
139,0,0,0,0,1,0,1,1,0
140,1.96871,0,0.0525572,0,0.947443,0,0.67,0.942542,-20.2986
141,0.882739,0,0.0483722,0,0.951628,0,0.67,0.921713,-17.5027
142,0.625225,0,0.065,0,0.935,0,0.67,0.937247,-9.50456
143,0.835677,0,0.0485193,0,0.951481,0,0.67,0.825891,-21.7949
144,0,0,0,0,1,0,1,1,0
145,1.26115,0,0.0484314,0,0.951569,0,0.67,0.947898,-16.4163
146,0.923313,0.923313,0.199109,1.2586,0.800891,0.100951,0.576695,1,-45.4704
147,1.38083,0,0.0419195,0,0.958081,0,0.67,0.894531,-29.2367
148,4.32298,0,0.0472961,0,0.952704,0,0.67,0.899353,-32.1671
149,0.422431,0,0.0484201,0,0.95158,0,0.67,0.906685,-10.7861
150,2.47457,0,0.0484407,0,0.951559,0,0.67,0.909155,-36.6872
151,0,0,0,0,1,0,1,1,0
152,0.502494,0,0.0483717,0,0.951628,0,0.67,0.950598,-10.0737
153,0.473271,0,0.0484201,0,0.95158,0,0.67,0.958793,-11.8357
154,0,0,0,0,1,0,1,1,0
155,1.91931,0,0.0484201,0,0.95158,0,0.67,0.961556,-22.8876
156,1.2962,0,0.0484913,0,0.951509,0,0.67,0.956046,-28.4372
157,1.35013,0,0.048487,0,0.951513,0,0.67,0.953314,-21.969
158,0.898703,0,0.0484166,0,0.951583,0,0.67,0.945212,-18.5722
159,0,0,0,0,1,0,1,1,0
160,1.24111,0,0.0650248,0,0.934975,0,0.67,0.836241,-14.5449
161,0,0,0,0,1,0,1,1,0
162,0.444859,0,0.0484201,0,0.95158,0,0.67,0.842576,-12.1059
163,0,0,0,0,1,0,1,1,0
164,0,0,0,0,1,0,1,1,0
165,1.44128,0,0.0484314,0,0.951569,0,0.67,0.862171,-22.1623
166,0.514148,0,0.0483717,0,0.951628,0,0.67,0.866649,-17.1721
167,0,0,0.253288,0.174471,0.746712,0.00288398,0.656556,1,-15.29
168,1.74296,0,0.0473253,0,0.952675,0,0.67,0.882698,-21.4184
169,0.932388,0,0.0474603,0,0.95254,0,0.67,0.88976,-15.5407
170,1.9718,0,0.0472729,0,0.952727,0,0.67,0.964335,-33.5055
171,1.43273,0,0.0373606,0,0.962639,0,0.67,0.98716,-20.277
172,0.900077,0,0.0484201,0,0.95158,0,0.67,0.984248,-17.9896
173,0,0,0,0,1,0,1,1,0
174,1.80239,0,0.0474491,0,0.952551,0,0.67,0.990089,-24.6922
175,1.61986,0,0.0484203,0,0.95158,0,0.67,0.996,-24.005
176,0.923581,0,0.0503863,0,0.949614,0,0.67,0.993036,-16.7016
177,0.896223,0,0.0472961,0,0.952704,0,0.67,0.981353,-15.12
178,1.87845,0,0.0472961,0,0.952704,0,0.67,0.969942,-26.6656
179,0.446144,0,0.0484201,0,0.95158,0,0.67,0.96713,-12.5232
180,3.74065,0,0.0484166,0,0.951583,0,0.67,0.97277,-37.9767
181,0.473213,0,0.0472961,0,0.952704,0,0.67,0.978475,-9.88043
182,0.447701,0.185229,0.99486,0,0.0051398,0,0.67,0.975614,-22.3622
183,0.437168,0,0.0501413,0,0.949859,0,0.67,0.896935,-12.9298
184,0,0,0,0,1,0,1,1,0
185,1.35019,0,0.0473141,0,0.952686,0,0.67,0.892139,-23.7492
186,2.93955,0,0.936411,16.8134,0.0635895,0.217914,0.523611,1,-58.3075
187,1.5068,0,0.0484201,0,0.95158,0,0.67,0.887394,-23.4476
188,0.445858,0,0.0415968,0,0.958403,0,0.67,0.88504,-12.6147
189,0,0,0,0,1,0,1,1,0
190,0.36112,0,0.0484397,0,0.95156,0,0.67,0.880369,-9.92452
191,0,0,0,0,1,0,1,1,0
192,2.8207,0,0.065,0,0.935,0,0.67,0.875748,-27.2257
193,1.62654,0,0.065,0,0.935,0,0.67,0.873456,-37.5037
194,0.498723,0.193179,1,0.193036,9.54E-08,0,0.67,0.871175,-18.5149
195,1.87119,0,0.0484201,0,0.95158,0,0.67,0.868906,-22.7744
196,0,0,0,0,1,0,1,1,0
197,0,0,0.254528,1.07666,0.745472,2.8346,0.117127,1,-27.8435
198,0,0,0,0,1,0,1,1,0
199,2.00138,0,0.0472669,0,0.952733,0,0.67,0.859948,-31.2294
200,0.724622,0,0.0484201,0,0.95158,0,0.67,0.857738,-14.736
201,0.487482,0,0.0500809,0,0.949919,0,0.67,0.855538,-11.5999
202,1.78671,0,0.0485768,0,0.951423,0,0.67,0.85335,-19.5413
203,1.26883,0,0.0484984,0,0.951502,0,0.67,0.851173,-15.7712
204,2.90449,0,0.0472961,0,0.952704,0,0.67,0.849008,-47.2846
205,3.72077,0,0.048522,0,0.951478,0,0.67,0.846853,-32.6676
206,2.31697,0,0.0484756,0,0.951524,0,0.67,0.844709,-27.9688
207,0,0,0,0,1,0,1,1,0
208,0.943351,0,0.05005,0,0.94995,0,0.67,0.840453,-14.1553
209,0.474137,0,0.0503863,0,0.949614,0,0.67,0.838342,-13.3425
210,1.30424,0.17721,0.999228,7.66936,0.000772442,0.000441298,0.664866,1,-30.4863
211,1.25828,0,0.0473747,0,0.952625,0,0.67,0.83415,-16.8473
212,3.34031,0,0.0485969,0,0.951403,0,0.67,0.83207,-38.9641
213,3.31655,0,0.065,0,0.935,0,0.67,0.83,-52.4904
214,1.65638,0.385449,1,0.387503,1.00E-09,0,0.67,0.82794,-26.4968
215,0,0,0,0,1,0,1,1,0
216,2.20935,0,0.0485626,0,0.951437,0,0.67,0.998982,-25.2051
217,0,0,0.853324,18.6341,0.146676,9.62471,0.00357424,0.444993,-69.2597
218,0.472548,0,0.0484199,0,0.95158,0,0.67,1,-8.60582
219,1.88866,0,0.0484201,0,0.95158,0,0.67,1,-18.806
220,0.879242,0,0.0503863,0,0.949614,0,0.67,1,-14.3731
221,0,0,0,0,1,0,1,1,0
222,0.0260122,0.0260122,0.248999,0.164435,0.751001,-0.00288772,0.67,1,-10.3149
223,0.56126,0,0.0472994,0,0.952701,0,0.67,1,-11.2314
224,0.56196,0,0.0484201,0,0.95158,0,0.67,1,-9.42622
225,0,0,0,0,1,0,1,1,0
226,1.3725,0,0.0473752,0,0.952625,0,0.67,1,-25.5767
227,0,0,0,0,1,0,1,1,0
228,1.25633,0,0.0473434,0,0.952657,0,0.67,1,-20.663
229,0.543562,0,0.0484201,0,0.95158,0,0.67,1,-9.59886
230,1.25863,0,0.0484869,0,0.951513,0,0.67,1,-18.966
231,0,0,0,0,1,0,1,1,0
232,0.447528,0,0.982745,14.8116,0.0172555,0.0947478,0.580055,1,-19.6059
233,1.45025,0,0.0500346,0,0.949965,0,0.67,1,-24.2799
234,0.444078,0,0.0483717,0,0.951628,0,0.67,1,-9.52301
235,1.09173,0,0.995061,223.047,0.00493895,0.983314,0.322276,1,-24.5834
236,1.02085,0.359177,0.999994,0.359317,6.10E-06,0,0.67,1,-28.8095
237,0.444431,0,0.982208,36.6833,0.0177925,0.594958,0.406494,1,-25.1971
238,0,0,0,0,1,0,1,1,0
239,0,0,0.246808,0.379704,0.753192,0.389438,0.463877,1,-16.463
240,0.623958,0,0.0472961,0,0.952704,0,0.67,1,-10.3211
241,0.543807,0,0.065,0,0.935,0,0.67,1,-11.2286
242,1.4729,0,0.0484166,0,0.951583,0,0.67,1,-26.7498
243,1.52851,0,0.0487501,0,0.95125,0,0.67,1,-20.2258
244,0.525102,0,0.0484387,0,0.951561,0,0.67,1,-8.18848
245,1.75816,0,0.047321,0,0.952679,0,0.67,1,-19.2925
246,0.973803,0,0.0484201,0,0.95158,0,0.67,1,-23.2305
247,1.1651,0,0.065,0,0.935,0,0.67,1,-13.4976
248,0,0,0,0,1,0,1,1,0
249,0.908342,0,0.0484201,0,0.95158,0,0.67,1,-15.0054
250,1.24661,0,0.0485011,0,0.951499,0,0.67,1,-14.605
251,0,0,0,0,1,0,1,1,0
252,0.423754,0,0.0484201,0,0.95158,0,0.67,1,-7.96587
253,2.36754,2.36754,0.369259,0,0.630741,0,0.67,1,-53.9957
254,0,0,0,0,1,0,1,1,0
255,1.26006,0,0.0484931,0,0.951507,0,0.67,1,-13.3761
256,0.435416,0,0.0484201,0,0.95158,0,0.67,1,-13.6105
257,2.71981,0.386301,1,0.380963,1.49E-09,0,0.67,1,-35.8798
258,2.55654,0,0.0500663,0,0.949934,0,0.67,1,-27.6232
259,2.113,0.654826,1,0.669018,1.21E-09,0,0.67,1,-47.7651
260,0.448866,0,0.0484201,0,0.95158,0,0.67,1,-12.1816
261,1.14494,0,0.048487,0,0.951513,0,0.67,1,-21.9891
262,0,0,0,0,1,0,1,1,0
263,0.894109,0,0.0472961,0,0.952704,0,0.67,1,-18.1592
264,1.78047,0,0.0484799,0,0.95152,0,0.67,1,-35.5101
265,2.35458,0.14951,0.992271,1.60649,0.00772873,0,0.67,1,-19.7633
266,0.276577,0,0.0472961,0,0.952704,0,0.67,1,-11.4582
267,0.503457,0,0.0484053,0,0.951595,0,0.67,1,-9.02676
268,2.64972,0,0.0472961,0,0.952704,0,0.67,1,-37.6417
269,1.35958,0,0.048435,0,0.951565,0,0.67,1,-23.6795
270,0,0,0.215624,0.246726,0.784376,0.685077,0.384587,1,-10.2669
271,0.953702,0,0.0373607,0,0.962639,0,0.67,1,-17.5821
272,0,0,0,0,1,0,1,1,0
273,0.50456,0,0.0484201,0,0.95158,0,0.67,1,-9.53289
274,1.4177,0,0.0485011,0,0.951499,0,0.67,1,-23.7722
275,2.38517,0,0.0492246,0,0.950775,0,0.67,1,-24.8774
276,0.539442,0,0.0472961,0,0.952704,0,0.67,1,-16.3024
277,1.4393,0,0.0484641,0,0.951536,0,0.67,1,-22.0348
278,1.32471,0,0.0472849,0,0.952715,0,0.67,1,-22.0689
279,0,0,0,0,1,0,1,1,0
280,0,0,0.247546,0.256787,0.752454,0.859066,0.346556,1,-11.0996
281,0.638916,0,0.0484362,0,0.951564,0,0.67,1,-11.228
282,0,0,0,0,1,0,1,1,0
283,0,0,0,0,1,0,1,1,0
284,1.34806,0,0.0649905,0,0.93501,0,0.67,1,-21.654
285,0.447072,0,0.988176,24.5759,0.0118244,0.177446,0.540298,1,-19.7341
286,0.404482,0,0.995884,344.405,0.00411643,1.10998,0.299612,1,-23.1408
287,1.28119,0,0.98694,56.6042,0.0130601,0.889076,0.34049,1,-29.9587
288,4.3396,0,0.0373607,0,0.962639,0,0.67,1,-52.0081
289,0,0,0,0,1,0,1,1,0
290,0,0,0.639471,4.61626,0.360529,5.43844,0.0302328,1,-59.2141
291,2.93959,0,0.0472961,0,0.952704,0,0.67,1,-25.6897
292,0.543233,0,0.0484201,0,0.95158,0,0.67,1,-9.15097
293,1.07811,0.569288,1,0.569501,2.44E-07,0,0.67,1,-32.2501
294,0,0,0,0,1,0,1,1,0
295,0,0,0,0,1,0,1,1,0
296,0.594132,0,0.049976,0,0.950024,0,0.67,1,-12.7181
297,0.457856,0,0.065,0,0.935,0,0.67,1,-11.5036
298,1.81184,0,0.0484642,0,0.951536,0,0.67,1,-33.5225
299,3.32091,0,0.065,0,0.935,0,0.67,1,-49.5988
300,1.77381,0,0.0473434,0,0.952657,0,0.67,1,-21.458
301,2.39086,0.14257,0.642101,0.159156,0.357899,0,0.67,1,-19.6555
302,1.13799,0,0.0484315,0,0.951569,0,0.67,1,-14.0251
303,0.473282,0,0.0484201,0,0.95158,0,0.67,1,-12.5263
304,0.561022,0,0.0484053,0,0.951595,0,0.67,1,-11.019
305,0.538274,0.189661,1,0.188809,1.49E-09,0,0.67,1,-16.2435
306,1.38663,0,0.04845,0,0.95155,0,0.67,1,-32.5856
307,0.474907,0,0.0484201,0,0.95158,0,0.67,1,-12.9744
308,0,0,0,0,1,0,1,1,0
309,2.38644,0,0.0501809,0,0.949819,0,0.67,1,-24.3597
310,1.71928,0,0.0473393,0,0.952661,0,0.67,1,-19.3248
311,1.65567,0,0.972477,13.4194,0.0275232,0.0486717,0.608496,1,-29.449
312,1.994,0.187706,1,0.186974,6.48E-08,0,0.67,1,-33.5049
313,0,0,0,0,1,0,1,1,0
314,1.13065,0,0.00812565,0,0.991874,0,0.67,1,-13.2567
315,0.895532,0,0.0472961,0,0.952704,0,0.67,1,-23.5723
316,0.495031,0,0.0484053,0,0.951595,0,0.67,1,-11.6679
317,0.502561,0,0.065,0,0.935,0,0.67,1,-10.2686
318,2.84364,0,0.0472884,0,0.952712,0,0.67,1,-38.545
319,5.48649,0,0.0472974,0,0.952703,0,0.67,1,-41.2082
320,0.428488,0,0.0484201,0,0.95158,0,0.67,1,-10.7848
321,1.90726,0,0.047303,0,0.952697,0,0.67,1,-22.797
322,0.444721,0,0.048413,0,0.951587,0,0.67,1,-11.4706
323,0,0,0,0,1,0,1,1,0
324,0,0,0,0,1,0,1,1,0
325,0.849681,0,0.0500532,0,0.949947,0,0.67,1,-16.1052
326,3.22969,0,0.0472961,0,0.952704,0,0.67,1,-26.2209
327,1.32084,0,0.065,0,0.935,0,0.67,1,-18.7294
328,0.252957,0,0.0484201,0,0.95158,0,0.67,1,-14.5931
329,1.09668,0,0.0485055,0,0.951495,0,0.67,1,-20.2978
330,0,0,0,0,1,0,1,1,0
331,0,0,0,0,1,0,1,1,0
332,0.445574,0,0.0484201,0,0.95158,0,0.67,1,-12.9545
333,0,0,0,0,1,0,1,1,0
334,0,0,0.247678,0.558123,0.752322,1.1596,0.29125,1,-20.8775
335,1.44442,0,0.984691,56.974,0.0153093,0.626454,0.398645,1,-38.8368
336,0.473064,0,0.0484201,0,0.95158,0,0.67,1,-9.88734
337,0.445189,0,0.0484201,0,0.95158,0,0.67,1,-14.3231
338,0,0,0,0,1,0,1,1,0
339,0,0,0,0,1,0,1,1,0
340,0,0,0,0,1,0,1,1,0
341,1.85651,0.363585,1,0.357916,1.49E-09,0,0.67,1,-43.6581
342,0.502501,0,0.0484201,0,0.95158,0,0.67,1,-10.0881
343,0.690389,0.690389,0.246824,0.800772,0.753176,0.0154807,0.637305,1,-35.082
344,0.712255,0.665153,1,0.669158,1.49E-09,0,0.67,1,-29.0069
345,0.560988,0,0.0472961,0,0.952704,0,0.67,1,-12.1934
346,0,0,0,0,1,0,1,1,0
347,0.974867,0,0.0484387,0,0.951561,0,0.67,1,-14.6198
348,0,0,0.248565,0.238951,0.751435,0.611747,0.402283,1,-10.5845
349,0.360963,0,0.0486253,0,0.951375,0,0.67,1,-9.45952
350,3.13468,0.194685,0.992385,0,0.00761502,0,0.67,1,-49.7862
351,1.11501,0.38303,0.999998,0.383023,1.72E-06,0,0.67,1,-24.198
352,0.868816,0,0.0484201,0,0.95158,0,0.67,1,-14.9115
353,3.34266,0,0.770707,9.38225,0.229293,0.829293,0.352708,1,-84.5532
354,2.17454,0,0.0473614,0,0.952639,0,0.67,1,-35.7089
355,2.66689,0,0.0484166,0,0.951583,0,0.67,1,-39.9474
356,0.724923,0,0.0484201,0,0.95158,0,0.67,1,-15.9996
357,1.00639,0.192507,0.994941,0.195373,0.00505894,0,0.67,1,-21.3488
358,1.76444,0,0.0485169,0,0.951483,0,0.67,1,-28.6414
359,1.34512,0,0.0487247,0,0.951275,0,0.67,1,-23.0732
360,1.44402,0,0.0473838,0,0.952616,0,0.67,1,-22.5375
361,0.503093,0,0.0484201,0,0.95158,0,0.67,1,-10.2633
362,2.2565,0,0.047333,0,0.952667,0,0.67,1,-26.0448
363,0.460674,0.460674,0.248408,0.884272,0.751592,0.242227,0.514181,1,-34.3631
364,0.540456,0,0.0415968,0,0.958403,0,0.67,1,-8.4096
365,0,0,0,0,1,0,1,1,0
366,0,0,0,0,1,0,1,1,0
367,0.447612,0,0.0503863,0,0.949614,0,0.67,1,-12.4187
368,0,0,0,0,1,0,1,1,0
369,0.972483,0,0.0484201,0,0.95158,0,0.67,1,-14.4178
370,0.563854,0,0.0484201,0,0.95158,0,0.67,1,-9.2832
371,0,0,0.250811,0.173875,0.749189,0.000719713,0.663415,1,-11.5551
372,1.17796,0.175811,1,0.179317,1.49E-09,0,0.67,1,-25.4719
373,0.523866,0.438954,0.24971,0.890171,0.75029,0.133518,0.560219,1,-39.0101
374,0,0,0,0,1,0,1,1,0
375,0,0,1.00E-09,3.24884,1,10.3622,0.00245946,0.40827,-93.4017
376,0.886123,0,0.0486083,0,0.951392,0,0.67,1,-15.8486
377,0.627256,0,0.972701,17.1144,0.0272993,0.249374,0.511483,1,-26.7452
378,0.947689,0,0.0484201,0,0.95158,0,0.67,1,-15.6457
379,0,0,0,0,1,0,1,1,0
380,1.65736,0,0.048494,0,0.951506,0,0.67,1,-19.0922
381,1.28225,0,0.0473309,0,0.952669,0,0.67,1,-33.8907
382,1.52967,0,0.04845,0,0.95155,0,0.67,1,-20.7233
383,0.563284,0,0.0484201,0,0.95158,0,0.67,1,-11.4998
384,1.63229,0.888243,1,0.877236,1.00E-09,0,0.67,1,-51.0739
385,0,0,0,0,1,0,1,1,0
386,0,0,0,0,1,0,1,1,0
387,0.87809,0,0.0484201,0,0.95158,0,0.67,1,-19.0035
388,4.94752,0,0.0419454,0,0.958055,0,0.67,1,-17.0277
389,3.7837,0,0.0472961,0,0.952704,0,0.67,1,-48.4714
390,0,0,0,0,1,0,1,1,0
391,0.908458,0,0.994428,87.3512,0.0055723,6.97497,0.01376,0.978928,-24.8172
392,0,0,0,0,1,0,1,1,0
393,0.898997,0,0.0472961,0,0.952704,0,0.67,1,-16.4882
394,0.897829,0,0.065,0,0.935,0,0.67,1,-14.4455
395,0.561759,0,0.0472849,0,0.952715,0,0.67,1,-10.818
396,0.945817,0,0.0499479,0,0.950052,0,0.67,1,-12.7362
397,1.25893,0.183036,0.994033,0.20817,0.00596657,0,0.67,1,-26.0963
398,0,0,0,0,1,0,1,1,0
399,0.425202,0,0.0422828,0,0.957717,0,0.67,1,-10.3288
400,0.396812,0,0.0484201,0,0.95158,0,0.67,1,-12.9313
401,3.81551,0,0.037398,0,0.962602,0,0.67,1,-43.0165
402,2.84086,0,0.0484175,0,0.951583,0,0.67,1,-39.85
403,0.43104,0,0.987394,21.5199,0.0126058,0.121832,0.56593,1,-18.4099
404,2.2757,0,0.0472961,0,0.952704,0,0.67,1,-32.4303
405,1.09705,0,0.0484201,0,0.95158,0,0.67,1,-16.1391
406,0.964314,0.195064,1,0.200716,2.68E-08,0,0.67,1,-24.5446
407,0.605616,0,0.0179111,0,0.982089,0,0.67,1,-10.0278
408,1.07926,0,0.896339,3.91227,0.103661,0.410848,0.457314,1,-28.4255
409,0.54305,0,0.0421885,0,0.957812,0,0.67,1,-9.82879
